Knowing ki Vikas kitna samjhata hai Priyanka aur Itch Guard Luv ko, usne bola tha Ben wali baat me ab Sallu ne bhi agree kiya!	no
Pratik ji Ram Ram.????????????	no
Everyday we called her a race traitor and said her forefathers hang their heads in shame and that she is abusing their sacrifice for her own selfishness .	no
@sardanarohit hamaare yaha culture terrorism ho raha hai hame  kya karna chahiye kya zee news koi sport karega.	yes
Bhaiya terrorism aplogon ne mchai hui ha kashmir me ar ap jse senior artists such chpakr ye comments kren sharm ki bat ha !	no
Long day , but very beautiful of course .	no
Pakistan sirf terrorism hi failana janta h usko rishto ki ehmiyat nahi samaj aati he. isliye ek maa ko bete se gale nahi milne diya.	no
Call the jackass and tell him about hundreds of thousands of foreign nationals who have invaded our country and laid seige to our cities on May 1 .	yes
And `` heat '' means guns ( ' case y' all ai n't down wit da slang )	no
Absolute Vodka as a company is anti White as they 're a sponsor for RuPaul 's Drag race and a huge advocate for the LGBT community as well as is the first company to ever sponsor a gay party back in the 70 's : Behind the Scenes of Absolut Vodka Cocktail Perfected - YouTube	no
#Bollywood :  Abhijeet Bhattacharya: UP waalon ke khoon main hi politics hoti hai http://dlvr.it/NQwdz3Â 	yes
@imVkohli (1)Bhai GD mrng.. Jo v ho gaya use sab vul kr, Anewali west indies series ke liye dhyan do. Haters kaa to kaam hai hate krna,	no
Now it is time to drive out all traitors !	no
Pyar samarthan kar raha tu nafrat ka aur baat pyar ki baat kr raha hai aur gou mutr pe mirch lagi apna tweet pehle dekhlo kya kya bole ho	no
"Mai to supreme Court ke faisale ko bi galat kahunga .  
Bc kahi bi allow ni krna chiye in ganduo ko."	yes
wo larki jis ne mardo ko rape ki dawat di pir haqeeqat jane je bad cahkra gayi: http://youtu.be/yrdaJDr_Y9M?aÂ  via @YouTube	yes
Tere Baap Suprim Court ne order dia Tu Kya Kar Lega Bipin	yes
I had a few of the CDs and gave them all away , let me see if i can get you a copy !!!!	no
I know that Mississippi is full of blacks but is it really that bad over there that real white folks are trying to move to overpriced liberal ( my assumption ) Britain ?	no
What they say and what the want to do are miles apart https : //www.facebook.com/NationalRif ... 4033633761833/	no
Ak tali to apki soch ko ???­???­	no
It seems to me like you along with this post belong on the General Rants forum .	no
Maybe you should encourage all the blacks to go there since they want to move there so desperately and the rest of you white americans should come to SA .	no
jai hate LANE2	no
Ranbir ko hate mat kar... Baaki sabko kar...	no
"Don't listen to Prateek  
Bekar mentality h"	yes
abay loray jab tumhe apni he maa bheno ka rape kar k sharam nahi aa rozz bc kam hone k bajai 4 gunnah zayda ho rahe hain	yes
Bessie Mae Whyman The Orange County grand jury indicted Anthony Darnell Wade , 26 , of Los Angeles last year of several felony counts .	no
Baal vivah to nitish sir aap roke rhe hai par rape rokne ki sapath kon lega	yes
"I hate calling him ""Maulana"". Jitna ganda Islam ko is banday nay kiya utna kissie nay nahi kiya hai"	no
@mohantyindia see @defencepk 50% Public PAGAL ho gai Bhukha mar dete hai bomb daltr hai gharope ladkiyo ka rape karte hai ?	yes
Less talk and more activism !	no
Tu laura he??	yes
Sir, jyada sentimental mat ho jao peene ke baad.Jiss desh ki buniyad sirf Hindu hatred pe hui ho woh kabhi nahi sudrega. Aap POK de do yaa phir Kabootar udao, jawab sirf goliyon se milega....	yes
True story	no
"Are yrr iss baar me bhi chutiya ban Gaya is movie k piche par thank u bhai
aapne aankhe khol di"	no
Vikash Ke pas jo be gaya usne shilpa Ke buraye keya I hate vikash arshi	yes
Jab asli me kisi ka rape hota hai tab kyu nai dikhte?	yes
bro Punjabi film ka reviews kro	no
Usually go to Lake Michigan Beach , MI .	no
Like I 've said before , Kevin Myers has always been a voice for us here in Ireland .	no
Bomb fodna jayej h Islam Mai . Logo ko marna jayej h rape karna jayej h sab jayej hi h	yes
We can understand @ashokepandit nafart ghol diya hai tum logon pak ke naam se or pyaar bhi hai paki se ye kasoor tumhare khoon ka hai https://twitter.com/ashokepandit/status/834117260268679169Â â€¦	yes
Kindest Regards JE .	no
Berijgari, bhirastachar, rape, ananyay, chori, aur garibi.	yes
Khud ko bht bara celeb samjhti ha choro yar i hate her https://twitter.com/rudeicious/status/944977191611387904Â â€¦	yes
Kuch v kahlo kuch v sunlo,Nota kar do par cong @INCIndia ko vote mat do,60 sal may bharat ma ka itna rape kiya ab nehi #MLKDAY @OfficeOfRGhttps://twitter.com/shenoy70/status/821171031511617536 …	yes
"bhosdike movies review karta rahega? desh ki suraksha ke bare mein, dharm ke
bare mein kabhi sochta bhi hai?"	yes
